scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
mock,fixed,0,42,1343500.204657532,1443498.204657532,99998.0,11057,7769,16,10,8.718819700006861,False,True
mock,fixed,1,42,1162577.2886435755,1262575.2886435755,99998.0,11057,7769,16,10,8.11684430000605,False,True
mock,fixed,2,42,973209.2882294188,1073205.2882294187,99996.0,11455,7769,16,10,6.595423799997661,False,True
mock,adaptive,0,42,358934.2102444537,458544.2102444537,99610.0,15000,12400,16,9,7.723261599952821,False,True
mock,adaptive,1,42,-297696.92196291016,-198776.92196291016,98920.0,15000,12200,16,5,6.23119510000106,True,True
mock,adaptive,2,42,141206.2292875714,240126.2292875714,98920.0,15000,12200,16,5,6.255040399963036,False,True
mock,no_prior,0,42,-658168.0979263776,-568864.0979263776,89304.0,10876,8476,16,2,4.711732199997641,True,True
mock,no_prior,1,42,-583391.5019728141,-483391.501972814,100000.0,11363,8476,16,4,4.219781600055285,True,True
mock,no_prior,2,42,-421935.3908942735,-322667.3908942735,99268.0,15000,11817,16,5,5.695912899973337,True,True
mock,no_risk_penalty,0,42,133107.66851455526,233107.6685145553,100000.0,15000,12450,16,7,6.774661399947945,False,True
mock,no_risk_penalty,1,42,-280840.2736701968,-180840.27367019677,100000.0,15000,12400,16,6,5.733693399990443,True,True
mock,no_risk_penalty,2,42,-267648.88414001616,-168380.88414001616,99268.0,15000,12200,16,5,4.574318700004369,True,True
mock,push_only,0,42,355230.50566841336,355230.50566841336,0.0,15000,12400,16,9,3.4424167000106536,False,True
mock,push_only,1,42,-254345.6467184484,-254345.6467184484,0.0,15000,12200,16,5,3.862222899973858,True,True
mock,push_only,2,42,221152.3231131741,221152.3231131741,0.0,15000,12717,16,6,3.665297500032466,False,True
