scenario,strategy,seed,agent_seed,net_arpu_gain,gross_gain,communication_cost,total_contacts,unique_customers,n_pilots,n_final_campaigns,runtime_seconds,negative,conforms
permuted_leaders,template,0,42,87455.61273952192,119719.61273952192,32264.0,8066,5358,6,3,0.0961020999820903,False,True
permuted_leaders,template,1,42,125229.11523747747,185229.11523747747,60000.0,15000,11504,6,6,0.2173839000170119,False,True
permuted_leaders,template,2,42,57844.80341900131,96988.80341900131,39144.0,9786,6928,6,4,0.10983410000335425,False,True
permuted_leaders,fixed,0,42,-9372.24948726283,90625.75051273717,99998.0,11057,7769,16,10,11.638065200007986,True,True
permuted_leaders,fixed,1,42,138939.0780875472,238937.0780875472,99998.0,11057,7769,16,10,9.732692599995062,False,True
permuted_leaders,fixed,2,42,-49302.50905295719,50693.49094704281,99996.0,11455,7769,16,10,7.87268629996106,True,True
permuted_leaders,adaptive,0,42,-195373.5289963643,-95763.5289963643,99610.0,15000,12400,16,9,8.88640249997843,True,True
permuted_leaders,adaptive,1,42,-440697.48681290203,-340697.48681290203,100000.0,15000,12272,16,6,6.024789399991278,True,True
permuted_leaders,adaptive,2,42,-373525.31842949305,-273961.31842949305,99564.0,15000,12717,16,6,5.487052700016648,True,True
sign_reversed,template,0,42,1958805.3013075702,1991069.3013075702,32264.0,8066,5358,6,3,0.07976370002143085,False,True
sign_reversed,template,1,42,2157950.1684038676,2217950.1684038676,60000.0,15000,9934,6,6,0.07819130003917962,False,False
sign_reversed,template,2,42,1908337.3385805525,1959281.3385805525,50944.0,12736,6928,6,5,0.07841379998717457,False,True
sign_reversed,fixed,0,42,-1190421.3855238394,-1090423.3855238394,99998.0,11057,7769,16,10,12.472788500017487,True,True
sign_reversed,fixed,1,42,-1226582.3056512326,-1126584.3056512326,99998.0,11057,7769,16,10,9.306822899961844,True,True
sign_reversed,fixed,2,42,-1046642.867847226,-946646.867847226,99996.0,11455,7769,16,10,7.645748599956278,True,True
sign_reversed,adaptive,0,42,143197.34726742643,243197.34726742643,100000.0,14792,12059,16,9,6.3740175000275485,False,True
